cas_number,Drug_name,table_link,db_id,indication
479-18-5,Dyphylline,1866X1628,DB00651,For relief of acute bronchial asthma and for reversible bronchospasm associated with chronic bronchitis and emphysema.
50-49-7,Imipramine,1867X1622,DB00458,"For the relief of symptoms of depression and as temporary adjunctive therapy in reducing enuresis in children aged 6 years and older [FDA Label].     May also be used off-label to manage panic disorders with or without agoraphobia, as a second line agent for ADHD in children and adolescents, to manage bulimia nervosa, for short-term management of acute depressive episodes in bipolar disorder and schizophrenia, for the treatment of acute stress disorder and posttraumatic stress disorder, and for symptomatic treatment of postherpetic neuralgia and painful diabetic neuropathy [L1349,L1348,A31900,L1351,L1352,L1353,A31904]."
486-12-4,Triprolidine,1868X1621,DB00427,"For the symptomatic relief of seasonal or perennial allergic rhinitis or nonallergic rhinitis; allergic conjunctivitis; and mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Also used in combination with other agents for the symptomatic relief of symptoms associated with the common cold."
6707-58-0,Dequalinium,1868X1732,DB04209,"Effective local treatment as vaginal tablets for infections such as fluor vaginalis, bacterial vaginosis, aerobic vaginitis, vulvo-vaginal candidiasis and trichomoniasis. Used as a topical antimicrobial agent."
71620-89-8,Reboxetine,1869X1615,DB00234,For the treatment of clinical depression.
60-99-1,Methotrimeprazine,1870X1650,,"For the treatment of psychosis, particular those of schizophrenia, and manic phases of bipolar disorder."
106516-24-9,Sertindole,1870X1778,,Used in the treatment of schizophrenia.
155-41-9,Methylscopolamine bromide,1871X1622,DB00462,Used as adjunctive therapy for the treatment of peptic ulcer. Also used to treat nausea and vomiting due to motion sickness.
569-57-3,Chlorotrianisene,1872X1616,DB00269,"Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth."
93390-81-9,Fosphenytoin,1872X1648,,"For the control of generalized convulsive status epilepticus and prevention and treatment of seizures occurring during neurosurgery. It can also be substituted, short-term, for oral phenytoin."
29122-68-7,Atenolol,1873X1618,DB00335,For the management of hypertention and long-term management of patients with angina pectoris
86052-04-2,3-Methylthiofentanyl,1873X1651,,
22916-47-8,Miconazole,1874X1642,DB01110,"For topical application in the treatment of tinea pedis (athlete&rsquo;s foot), tinea cruris, and tinea corporis caused by <i>Trichophyton rubrum</i>, <i>Trichophyton mentagrophytes</i>, and <i>Epidermophyton floccosum</i>, in the treatment of cutaneous candidiasis (moniliasis), and in the treatment of tinea versicolor."
916072-89-4,Naldemedine,1874X1902,,For the treatment of opioid-induced constipation [FDA Label].
115956-12-2,Dolasetron,1875X1631,DB00757,"For the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy, including initial and repeat courses of chemotherapy. Also used for the prevention of postoperative nausea and vomiting. This drug can be used intravenously for the treatment of postoperative nausea and vomiting."
113665-84-2,Clopidogrel,1876X1631,DB00758,"For the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease."
130308-48-4,Icatibant,1876X1779,,"Approved for use in acute attacks of hereditary angioedema (HAE). Investigated for use/treatment in angioedema, liver disease, and burns and burn infections."
115-44-6,Talbutal,1877X1617,DB00306,For use as a sedative and hypnotic.
153559-49-0,Bexarotene,1878X1616,DB00307,Used orally for the treatment of skin manifestations of cutaneous T-cell lymphoma (CTCL) in patients who are refractory to at least one prior systemic therapy. Also used topically for the treatment of skin lesions in early (stage IA and IB) CTCL in patients who experience refractory or persistent disease with the use of other therapies or are intolerant of other therapies.
524-84-5,Dimethylthiambutene,1878X1650,,Dimethylthiambutene is an opioid analgesic previously used in moderate pain relief.
152923-57-4,Lutropin alfa,1879X1608,DB00044,For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L)
7187-66-8,Trimethaphan,1880X1641,DB01116,For the controlled reduction of blood pressure during surgery and in the treatment of hypertensive emergencies.
300-62-9,Amphetamine,1881X1612,DB00182,"For treatment of Attention Deficit Disorder with Hyperactivity (ADDH), narcolepsy, and exogenous obesity as a short term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction for patients refractory to alternative therapy."
5534-95-2,Pentagastrin,2250X1612,DB00183,Used as a diagnostic aid for evaluation of gastric acid secretory function
22664-55-7,Metipranolol,2250X1644,DB01214,Indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open angle glaucoma.
133652-38-7,Reteplase,2251X1607,DB00015,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction"
364-98-7,Diazoxide,2251X1641,DB01119,Used parentally to treat hypertensive emergencies. Also used to treat hypoglycemia secondary to insulinoma.
54063-32-0,Clobetasone,2251X1945,,"In dermatology, topical clobestasone butyrate helps to reduce the itchiness and erythema associated with eczema and dermatitis.  In ophthalmology, clobetasone butyrate 0.1% eye drops have been shown to be safe and effective in the treatment of dry eyes in Sjögren's Syndrome."
78919-13-8,Iloprost,2252X1640,DB01088,Used for the treatment of pulmonary arterial hypertension.
