Drug1_name,Drug1_CID,Drug2_name,Drug2_CID,HSA,Bliss,Loewe,ZIP,Source_DB,DB_ID
SUNITINIB,5329102,SN-38,104842,-4.59,-17.14,-6.01,-8.39,DrugcombDB,89291
FULVESTRANT,104741,ERLOTINIB HYDROCHLORIDE,176871,-0.94,3.48,0.93,3.25,DrugcombDB,148534
Panobinostat,6918837,AEE-788,10297043,-0.118,0.594,-22.118,1.33,DrugcombDB,486973
VX-702,10341154,temozolomide,5394,-31.99,-29.9,-5.34,-10.68,DrugcombPortal,1407582
gemcitabine,60750,Lapatinib,208908,8.89,8.33,2.1,10.98,DrugcombPortal,48775
AXITINIB,6450551,34793-34-5,13988706,-0.4,1.01,-0.42,0.28,DrugcombDB,324490
Crizotinib,11626560,MITHRAMYCIN,163659,4.23,5.73,4.46,-0.33,DrugcombPortal,355424
MITOMYCINE,5746,NSC256439,42890,-0.65,-2.16,-6.17,-4.25,DrugcombDB,438128
SUMATRIPTAN,5358,AMODIAQUINE,2165,-6.41,-21.14,-6.41,-21.14,DrugcombDB,103337
LENALIDOMIDE,216326,TAMOXIFEN CITRATE,2733525,-7.35,-7.08,-7.58,-2.39,DrugcombDB,331446
docetaxel,148124,methoxsalen,4114,-2.04,-1.94,-14.64,-5.34,DrugcombPortal,178782
Uramustine,6194,Vorinostat,5311,3.35,1.9,3.02,-6.16,DrugcombPortal,403754
ABIRATERONE,132971,DASATINIB,3062316,19.69,17.76,17.47,16.02,DrugcombDB,355255
LAPATINIB,208908,PD325901,9826528,0.85,-0.96,-3.22,0.72,DrugcombDB,65216
CABAZITAXEL,9854073,ERLOTINIB HYDROCHLORIDE,176871,6.9,5.93,-16.27,5.63,DrugcombDB,366837
158798-73-3,400633,122111-05-1,46781465,-5.28,-7.47,-20.22,-10.37,DrugcombPortal,152491
MEGESTROL ACETATE,11683,BLEOMYCIN,5360373,0.36,0.58,-0.44,-0.83,DrugcombDB,219784
Bardoxolone methyl,400769,Navitoclax,24978538,9.09,7.27,6.66,8.22,DrugcombPortal,461090
mitotane,4211,158798-73-3,400633,-3.06,0.75,-3.21,1.83,DrugcombPortal,236856
Nilotinib,644241,Crizotinib,11626560,5.49,26.14,5.61,12.65,DrugcombPortal,1313779
teniposide,452548,Uramustine,6194,11.43,5.87,11.03,-3.58,DrugcombPortal,377673
NAVELBINE DITARTRATE (TN),25136944,AZACYTIDINE,9444,-3.24,-2.76,-17.82,-1.32,DrugcombDB,395906
mitotane,4211,6-Mercaptopurine,667490,-0.23,3.02,-35.49,2.68,DrugcombPortal,170350
CYTARABINE HYDROCHLORIDE,6252,TOPOTECAN HYDROCHLORIDE,60699,1.87,-1.94,-2.35,-2.43,DrugcombDB,174458
Pralatrexate,148121,Eloxatin (TN) (Sanofi Synthelab),24197464,-2.22,3.12,-1.8,3.59,DrugcombPortal,197524
VISMODEGIB,24776445,PEMETREXED,135410875,2.66,0.2,-7.63,-0.14,DrugcombDB,405009
letrozole,3902,Triethylenemelamine,5799,0.92,1.13,-5.12,1.56,DrugcombPortal,208154
CYTARABINE HYDROCHLORIDE,6252,ADM hydrochloride,32874,-2.93,-7.0,-6.8,-6.88,DrugcombPortal,218599
DOXORUBICIN,31703,PD325901,9826528,2.48,-2.37,-0.4,-1.32,DrugcombDB,7499
Indole-3-carbinol,3712,Pioglitazone,4829,-36.36,-39.32,-12.5,-9.7,DrugcombPortal,1292209
SUNITINIB,5329102,ERLOTINIB,176870,15.64,11.22,9.4,11.29,DrugcombDB,4254
VINBLASTINE SULFATE,241902,THALIDOMIDE,5426,1.69,5.63,1.8,3.18,DrugcombDB,208359
Decitabine,451668,Dasatinib,3062316,6.58,-2.8,22.72,6.64,DrugcombPortal,1243749
VEMURAFENIB,42611257,SUNITINIB,5329102,4.14,8.27,-8.24,9.07,DrugcombDB,372372
"001, RAD",6442177,Vorinostat,5311,-46.63,-36.39,-4.34,-6.88,DrugcombPortal,1267001
Bendamustine hydrochloride,77082,Erlotinib hydrochloride,176871,-1.71,-1.02,-0.95,1.56,DrugcombPortal,284493
BI-78D3,2747117,Sorafenib,216239,-31.14,-8.67,-1.82,4.27,DrugcombPortal,1218908
mitomycin C,5746,Eloxatin (TN) (Sanofi Synthelab),24197464,-7.32,-5.5,-4.85,-3.9,DrugcombPortal,235885
122111-05-1,46781465,cis-Platin,441203,5.31,1.43,3.09,1.48,DrugcombPortal,194291
TRETINOIN,444795,MITOTANE,4211,2.84,4.03,-0.97,-0.1,DrugcombDB,211286
GSK 650394,25022668,Pioglitazone,4829,-15.47,-16.78,-4.02,-4.07,DrugcombPortal,1282898
MK-8669,11520894,TOPOTECAN,60700,20.96,13.84,17.09,13.7,DrugcombDB,29312
etoposide,36462,915019-65-7,11977753,0.55,-4.71,-2.96,-2.74,DrugcombPortal,19154
Vinblastine sulfate,241902,158798-73-3,400633,-0.93,1.83,0.24,0.56,DrugcombPortal,238920
Stibogluconate,16683013,Cardamonin,641785,-3.55,16.21,-13.39,11.5,DrugcombPortal,1369133
TEMOZOLOMIDE,5394,BEZ-235,11977753,11.74,20.93,-18.77,20.85,DrugcombDB,77693
chlorambucil,2708,bleomycin,5360373,-0.92,-0.21,-1.12,-6.61,DrugcombPortal,150818
LAPATINIB,208908,ERLOTINIB,176870,10.48,9.42,6.08,9.29,DrugcombDB,3287
URACIL MUSTARD,6194,CARMUSTINE,2578,1.51,7.67,1.51,5.83,DrugcombDB,364471
122111-05-1,46781465,methoxsalen,4114,-4.48,-3.42,-41.97,-1.27,DrugcombPortal,147367
Ruxolitinib,25126798,Tamoxifen citrate,2733525,-1.21,3.76,-6.09,-0.51,DrugcombPortal,329855
Y-39983 dihydrochloride 2/3 H2O,73013358,QS11,42623900,-8.94,-6.52,6.97,10.94,DrugcombPortal,1350733
bleomycin,5360373,55-86-7,5935,2.13,-1.18,-1.1,-6.11,DrugcombPortal,170778
ETOPOSIDE,36462,BEZ-235,11977753,2.4,-3.93,-0.71,-2.77,DrugcombDB,44108
Dasatinib,3062316,BMS-536924,135440466,-0.18,24.85,-17.65,6.74,DrugcombPortal,1241385
bleomycin,5360373,Pralatrexate,148121,1.48,2.76,1.2,-0.73,DrugcombPortal,139153
Lapatinib,208908,BMS-536924,135440466,-14.41,-6.62,2.17,-1.86,DrugcombPortal,1298613
Axitinib,6450551,Sorafenib,216239,-13.19,-10.45,-20.24,-7.2,DrugcombPortal,312572
Midostaurin,9829523,dorsomorphin,11524144,-16.93,-13.87,-2.61,-2.27,DrugcombPortal,1307284
gemcitabine,60750,MK-2206,24964624,4.88,1.42,-3.26,3.63,DrugcombPortal,60438
PACLITAXEL,36314,ADM HYDROCHLORIDE,32874,-3.58,-9.28,-4.43,-7.27,DrugcombDB,432995
Navelbine ditartrate (TN),25136944,pipobroman,4842,1.96,-1.38,-8.78,-4.04,DrugcombPortal,182106
ANTIBIOTIC AD 32,41744,ROMIDEPSIN,5352062,4.36,3.54,-1.98,5.72,DrugcombDB,234738
EXEMESTANE,60198,MITOMYCINE,5746,8.32,6.43,6.69,2.74,DrugcombDB,429365
NAVELBINE DITARTRATE (TN),25136944,QUINACRINE HYDROCHLORIDE,6239,11.7,10.62,8.02,7.53,DrugcombDB,326533
GEFITINIB,123631,THIOGUANINE,2723601,3.03,-2.67,1.01,-8.43,DrugcombDB,168014
EXEMESTANE,60198,busulfan,2478,9.96,11.82,3.7,8.69,DrugcombPortal,369623
L-778123 free base,216454,Vorinostat,5311,8.96,4.92,3.96,4.86,DrugcombPortal,3263
IMD-0354,5081913,Crizotinib,11626560,-12.07,1.23,-2.09,9.05,DrugcombPortal,1287571
500-92-5,6178111,Methylene Blue cation,4139,1.84,-0.16,0.44,-0.01,DrugcombPortal,1457124
Lenalidomide,216326,AZD7762,11152667,-22.18,-21.14,-12.28,-4.41,DrugcombPortal,1431570
VANDETANIB,3081361,CISPLATINO,441203,7.7,9.01,5.97,4.69,DrugcombDB,313372
Zanosar,23615975,cis-Platin,441203,-0.97,-2.07,-31.13,-1.47,DrugcombPortal,287270
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,400633,NSC 85998,23615975,-6.96,6.52,-4.56,11.54,DrugcombDB,156636
SUNITINIB,5329102,PD325901,9826528,5.36,4.27,4.89,4.49,DrugcombDB,29677
zonisamide,5734,(-)-Threo-Mefloquine,3000506,3.14,0.74,-0.32,0.48,DrugcombPortal,1456715
SN-38,104842,CARMUSTINE,2578,-4.27,-0.41,-4.97,-0.17,DrugcombDB,288546
Vepesid J,36462,lomustine,3950,8.96,7.1,4.11,-0.93,DrugcombPortal,340529
VINBLASTINE SULFATE,241902,MITOTANE,4211,-1.03,4.23,-36.75,-2.49,DrugcombDB,166468
TRIMETHOPRIM,5578,D-CYCLOSERINE,6234,0.52,-16.57,0.51,-16.57,DrugcombDB,112013
Vepesid J,36462,letrozole,3902,-1.24,-1.39,-10.68,-9.55,DrugcombPortal,398175
PACLITAXEL,36314,BORTEZOMIB,387447,-1.74,-3.99,-5.59,-1.82,DrugcombDB,86759
CARBOPLATIN,426756,MK-5108,24748204,24.49,18.02,20.02,22.17,DrugcombDB,2626
actinomycin D,457193,ifosfamide,3690,-1.66,0.53,-9.76,-0.5,DrugcombPortal,216368
TENIPOSIDE,452548,CHEMBL17639,1546,0.2,-0.36,-6.74,-9.4,DrugcombDB,407656
Romidepsin,5352062,55-86-7,5935,3.78,1.97,-0.97,3.13,DrugcombPortal,279901
5-Aminosalicylic acid,4075,trioxsalen,5585,-9.59,-23.37,-9.59,-23.37,DrugcombPortal,94757
Endoxifen,10090750,temozolomide,5394,32.09,10.68,32.09,10.68,DrugcombPortal,128043
5-Fluoro-2'-deoxyuridine,5790,Dasatinib,3062316,2.28,1.98,2.61,0.3,DrugcombPortal,195465
Romidepsin,5352062,NSC256439,42890,-7.16,-10.63,-10.25,-4.38,DrugcombPortal,441112
6-Thioguanine,2723601,Sorafenib,216239,0.05,-3.68,-2.5,-2.46,DrugcombPortal,327623
Abiraterone,132971,Bendamustine hydrochloride,77082,0.95,0.59,-1.45,-2.97,DrugcombPortal,414702
CABAZITAXEL,9854073,ALLOPURINOL,135401907,-8.68,-7.28,-46.07,-2.96,DrugcombDB,383378
Fingolimod,107970,JZL184,25021165,2.71,-1.69,-15.13,0.72,DrugcombPortal,1270767
5-Fluorouracil,3385,391210-10-9,9826528,7.55,3.61,4.69,1.97,DrugcombPortal,63
934593-90-5,16124726,QS11,42623900,11.93,61.89,12.39,27.68,DrugcombPortal,1286755
5-FU,3385,BORTEZOMIB,387447,-1.98,-3.6,-3.27,-3.3,DrugcombDB,38835
