ID	Type	name
0	BiologicalProcess	"bp(GOBP:""inflammatory response"")"
1	BiologicalProcess	"bp(GOBP:""neuron differentiation"")"
2	BiologicalProcess	"bp(MESHPP:""Stress, Physiological"")"
4	BiologicalProcess	"bp(GOBP:""cell activation"")"
5	BiologicalProcess	"bp(GOBP:""macrophage differentiation"")"
6	BiologicalProcess	"bp(GOBP:""memory"")"
7	BiologicalProcess	"bp(MESHPP:""Neuroprotection"")"
8	BiologicalProcess	"bp(GOBP:""cell chemotaxis"")"
10	BiologicalProcess	"bp(GOBP:""phospholipase C-activating G-protein coupled receptor signaling pathway"")"
11	BiologicalProcess	"bp(GOBP:""intrinsic apoptotic signaling pathway by p53 class mediator"")"
12	BiologicalProcess	"bp(GOBP:""B cell activation"")"
13	BiologicalProcess	"bp(FIXME:""nicotine withdrawal"")"
14	BiologicalProcess	"bp(GOBP:""regulation of energy homeostasis"")"
15	BiologicalProcess	"bp(GOBP:""chemokine biosynthetic process"")"
16	BiologicalProcess	"bp(MESHPP:""Long-Term Potentiation"")"
17	BiologicalProcess	"bp(GOBP:""neurotrophin production"")"
18	BiologicalProcess	"bp(GOBP:""dopamine uptake"")"
20	BiologicalProcess	"bp(GOBP:""negative regulation of viral reproduction"")"
21	BiologicalProcess	"bp(PMIBP:""Neuronal injury-induced glial apoE secretion"")"
22	BiologicalProcess	"bp(CBP:""immune mediated tissue damage"")"
23	BiologicalProcess	"bp(GOBP:""synapsis"")"
24	BiologicalProcess	"bp(GO:""inflammatory response"")"
25	BiologicalProcess	"bp(GO:""neurogenesis"")"
26	BiologicalProcess	"bp(GO:""mitochondrial depolarization"")"
27	BiologicalProcess	"bp(GO:""regulation of ryanodine-sensitive calcium-release channel activity"")"
28	BiologicalProcess	"bp(GO:""proteasomal protein catabolic process"")"
29	BiologicalProcess	"bp(GO:""retrograde axonal transport"")"
30	BiologicalProcess	"bp(MESH:""Cell Hypoxia"")"
31	BiologicalProcess	"bp(GO:""neutrophil activation"")"
32	BiologicalProcess	"bp(GO:""pathogenesis"")"
33	BiologicalProcess	"bp(GO:""response to oxygen-glucose deprivation"")"
34	BiologicalProcess	"bp(GO:""positive regulation of oligodendrocyte apoptotic process"")"
35	BiologicalProcess	"bp(GO:""neuron remodeling"")"
36	BiologicalProcess	"bp(GO:""phosphorylation"")"
37	BiologicalProcess	"bp(MESH:""Ultraviolet Rays"")"
38	BiologicalProcess	"bp(GO:""calcineurin-mediated signaling"")"
40	BiologicalProcess	"bp(GO:""mitochondrion distribution"")"
41	BiologicalProcess	"bp(GO:""response to growth factor"")"
42	BiologicalProcess	"bp(GO:""amino acid activation"")"
43	BiologicalProcess	"bp(MESH:""Hot Temperature"")"
44	BiologicalProcess	"bp(GOBP:""glucose metabolic process"")"
49	BiologicalProcess	"bp(GOBP:""JAK-STAT cascade"")"
51	BiologicalProcess	"bp(GOBP:""mitochondrial translocation"")"
52	BiologicalProcess	"bp(GOBP:""negative regulation of synaptic growth at neuromuscular junction"")"
53	BiologicalProcess	"bp(MESHPP:""Wnt Signaling Pathway"")"
54	BiologicalProcess	"bp(GOBP:""insulin receptor signaling pathway"")"
55	BiologicalProcess	"bp(GOBP:""cellular senescence"")"
56	BiologicalProcess	"bp(GOBP:""metabolic process"")"
57	BiologicalProcess	"bp(GOBP:""protein kinase A signaling"")"
58	BiologicalProcess	"bp(GOBP:""cell cycle checkpoint"")"
59	BiologicalProcess	"bp(GOBP:""axon cargo transport"")"
60	BiologicalProcess	"bp(GOBP:""DNA biosynthetic process"")"
61	BiologicalProcess	"bp(ADO:""Mild_cognitive_impairment"")"
62	BiologicalProcess	"bp(GOBP:""migration in host"")"
63	BiologicalProcess	"bp(GO:""nicotine metabolic process"")"
64	BiologicalProcess	"bp(CONSO:""CONSO00077"")"
65	BiologicalProcess	"bp(GO:""carbohydrate utilization"")"
66	BiologicalProcess	"bp(GO:""endocytosis"")"
67	BiologicalProcess	"bp(GO:""cholesterol metabolic process"")"
68	BiologicalProcess	"bp(GO:""axonal transport"")"
69	BiologicalProcess	"bp(GO:""autophagosome-lysosome fusion"")"
71	BiologicalProcess	"bp(GO:""cell proliferation"")"
72	BiologicalProcess	"bp(GO:""cerebrospinal fluid secretion"")"
73	BiologicalProcess	"bp(GO:""exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-independent decay"")"
75	BiologicalProcess	"bp(GO:""protein dephosphorylation"")"
76	BiologicalProcess	"bp(GO:""bulk synaptic vesicle endocytosis"")"
77	BiologicalProcess	"bp(CONSO:""non-enzymatic protein modification"")"
78	BiologicalProcess	"bp(GO:""locomotor rhythm"")"
79	BiologicalProcess	"bp(GO:""spontaneous synaptic transmission"")"
80	BiologicalProcess	"bp(GO:""glial cell-derived neurotrophic factor receptor signaling pathway"")"
81	BiologicalProcess	"bp(GO:""late endosomal microautophagy"")"
82	BiologicalProcess	"bp(GO:""protein modification process"")"
83	BiologicalProcess	"bp(GO:""bone growth"")"
84	BiologicalProcess	"bp(GOBP:""regulation of mitochondrial membrane potential"")"
85	BiologicalProcess	"bp(MESHPP:""Synaptic Transmission"")"
86	BiologicalProcess	"bp(GOBP:""production of molecular mediator involved in inflammatory response"")"
87	BiologicalProcess	"bp(GOBP:""regulation of catalytic activity"")"
88	BiologicalProcess	"bp(GOBP:""negative regulation of insulin secretion involved in cellular response to glucose stimulus"")"
89	BiologicalProcess	"bp(GOBP:""Notch signaling pathway"")"
90	BiologicalProcess	"bp(GOBP:""lipid metabolic process"")"
91	BiologicalProcess	"bp(GOBP:""maintenance of permeability of blood-brain barrier"")"
92	BiologicalProcess	"bp(HP:""cholinesterase activity"")"
93	BiologicalProcess	"bp(GOBP:""leukotriene production involved in inflammatory response"")"
94	BiologicalProcess	"bp(GOBP:""superoxide dismutase activity"")"
95	BiologicalProcess	"bp(GOBP:""peptidyl-cysteine S-trans-nitrosylation"")"
96	BiologicalProcess	"bp(PTS:""amyloidogenic pathway"")"
97	BiologicalProcess	"bp(GOBP:""hormone secretion"")"
98	BiologicalProcess	"bp(MESHPP:""Mitochondrial Swelling"")"
99	BiologicalProcess	"bp(GO:""action potential"")"
100	BiologicalProcess	"bp(GO:""apoptotic DNA fragmentation"")"
101	BiologicalProcess	"bp(GO:""synapse pruning"")"
102	BiologicalProcess	"bp(GO:""positive regulation of short-term neuronal synaptic plasticity"")"
103	BiologicalProcess	"bp(GO:""microtubule cytoskeleton organization"")"
104	BiologicalProcess	"bp(MESH:""Apoptosis"")"
105	BiologicalProcess	"bp(GO:""ubiquitin-dependent protein catabolic process"")"
106	BiologicalProcess	"bp(GO:""synaptic vesicle membrane organization"")"
108	BiologicalProcess	"bp(GO:""negative regulation of cell volume"")"
109	BiologicalProcess	"bp(GO:""central nervous system development"")"
110	BiologicalProcess	"bp(GO:""ectoderm development"")"
111	BiologicalProcess	"bp(MESH:""Vision, Ocular"")"
112	BiologicalProcess	"bp(GO:""tissue remodeling"")"
113	BiologicalProcess	"bp(GO:""autophagosome assembly"")"
114	BiologicalProcess	"bp(GO:""DNA replication initiation"")"
115	BiologicalProcess	"bp(GO:""selective autophagy"")"
116	BiologicalProcess	"bp(GO:""actin filament polymerization"")"
117	BiologicalProcess	"bp(GO:""actin cytoskeleton reorganization"")"
119	BiologicalProcess	"bp(GOBP:""microglial cell activation involved in immune response"")"
121	BiologicalProcess	"bp(GOBP:""misfolded protein transport"")"
123	BiologicalProcess	"bp(GOBP:""type III interferon production"")"
124	BiologicalProcess	"bp(GOBP:""canonical Wnt signaling pathway"")"
125	BiologicalProcess	"bp(GOBP:""regulation of synaptic activity"")"
126	BiologicalProcess	"bp(GOBP:""positive regulation of synaptic plasticity"")"
127	BiologicalProcess	"bp(MESHPP:""Longevity"")"
128	BiologicalProcess	"bp(HP:""kinase activity"")"
129	BiologicalProcess	"bp(PMIBP:""glycogen synthase kinase-3 beta intracellular signaling pathway"")"
130	BiologicalProcess	"bp(GOBP:""nagative regulation of blood pressure"")"
131	BiologicalProcess	"bp(GOBP:""positive regulation of mitochondrial membrane permeability involved in apoptotic process"")"
132	BiologicalProcess	"bp(GOBP:""phospholipid-hydroperoxide glutathione peroxidase activity"")"
133	BiologicalProcess	"bp(MESHPP:""Long-Term Synaptic Depression"")"
135	BiologicalProcess	"bp(GO:""behavior"")"
136	BiologicalProcess	"bp(GO:""neuronal signal transduction"")"
138	BiologicalProcess	"bp(GO:""hypermethylation of CpG island"")"
139	BiologicalProcess	"bp(MESH:""Neuroprotection"")"
140	BiologicalProcess	"bp(GO:""histone H4-K12 acetylation"")"
141	BiologicalProcess	"bp(GO:""maintenance of cell number"")"
142	BiologicalProcess	"bp(GO:""cellular response to oxidative stress"")"
143	BiologicalProcess	"bp(GO:""monoamine transport"")"
144	BiologicalProcess	"bp(GO:""mitochondrial fusion"")"
145	BiologicalProcess	"bp(MESH:""Immunomodulation"")"
146	BiologicalProcess	"bp(GO:""regulatory T cell differentiation"")"
147	BiologicalProcess	"bp(GO:""phosphatidylinositol 3-kinase signaling"")"
148	BiologicalProcess	"bp(GO:""response to nicotine"")"
149	BiologicalProcess	"bp(MESH:""Calcium Signaling"")"
