Type	Name
BiologicalProcess	"bp(GOBP:""inflammatory response"")"
BiologicalProcess	"bp(GOBP:""neuron differentiation"")"
BiologicalProcess	"bp(MESHPP:""Stress, Physiological"")"
BiologicalProcess	"bp(GOBP:""cell activation"")"
BiologicalProcess	"bp(GOBP:""macrophage differentiation"")"
BiologicalProcess	"bp(GOBP:""memory"")"
BiologicalProcess	"bp(MESHPP:""Neuroprotection"")"
BiologicalProcess	"bp(GOBP:""cell chemotaxis"")"
BiologicalProcess	"bp(GOBP:""phospholipase C-activating G-protein coupled receptor signaling pathway"")"
BiologicalProcess	"bp(GOBP:""intrinsic apoptotic signaling pathway by p53 class mediator"")"
BiologicalProcess	"bp(GOBP:""B cell activation"")"
BiologicalProcess	"bp(FIXME:""nicotine withdrawal"")"
BiologicalProcess	"bp(GOBP:""regulation of energy homeostasis"")"
BiologicalProcess	"bp(GOBP:""chemokine biosynthetic process"")"
BiologicalProcess	"bp(MESHPP:""Long-Term Potentiation"")"
BiologicalProcess	"bp(GOBP:""neurotrophin production"")"
BiologicalProcess	"bp(GOBP:""dopamine uptake"")"
BiologicalProcess	"bp(GOBP:""negative regulation of viral reproduction"")"
BiologicalProcess	"bp(PMIBP:""Neuronal injury-induced glial apoE secretion"")"
BiologicalProcess	"bp(CBP:""immune mediated tissue damage"")"
BiologicalProcess	"bp(GOBP:""synapsis"")"
BiologicalProcess	"bp(GO:""inflammatory response"")"
BiologicalProcess	"bp(GO:""neurogenesis"")"
BiologicalProcess	"bp(GO:""mitochondrial depolarization"")"
BiologicalProcess	"bp(GO:""regulation of ryanodine-sensitive calcium-release channel activity"")"
BiologicalProcess	"bp(GO:""proteasomal protein catabolic process"")"
BiologicalProcess	"bp(GO:""retrograde axonal transport"")"
BiologicalProcess	"bp(MESH:""Cell Hypoxia"")"
BiologicalProcess	"bp(GO:""neutrophil activation"")"
BiologicalProcess	"bp(GO:""pathogenesis"")"
BiologicalProcess	"bp(GO:""response to oxygen-glucose deprivation"")"
BiologicalProcess	"bp(GO:""positive regulation of oligodendrocyte apoptotic process"")"
BiologicalProcess	"bp(GO:""neuron remodeling"")"
BiologicalProcess	"bp(GO:""phosphorylation"")"
BiologicalProcess	"bp(MESH:""Ultraviolet Rays"")"
BiologicalProcess	"bp(GO:""calcineurin-mediated signaling"")"
BiologicalProcess	"bp(GO:""mitochondrion distribution"")"
BiologicalProcess	"bp(GO:""response to growth factor"")"
BiologicalProcess	"bp(GO:""amino acid activation"")"
BiologicalProcess	"bp(MESH:""Hot Temperature"")"
BiologicalProcess	"bp(GOBP:""glucose metabolic process"")"
BiologicalProcess	"bp(GOBP:""JAK-STAT cascade"")"
BiologicalProcess	"bp(GOBP:""mitochondrial translocation"")"
BiologicalProcess	"bp(GOBP:""negative regulation of synaptic growth at neuromuscular junction"")"
BiologicalProcess	"bp(MESHPP:""Wnt Signaling Pathway"")"
BiologicalProcess	"bp(GOBP:""insulin receptor signaling pathway"")"
BiologicalProcess	"bp(GOBP:""cellular senescence"")"
BiologicalProcess	"bp(GOBP:""metabolic process"")"
BiologicalProcess	"bp(GOBP:""protein kinase A signaling"")"
BiologicalProcess	"bp(GOBP:""cell cycle checkpoint"")"
BiologicalProcess	"bp(GOBP:""axon cargo transport"")"
BiologicalProcess	"bp(GOBP:""DNA biosynthetic process"")"
BiologicalProcess	"bp(ADO:""Mild_cognitive_impairment"")"
BiologicalProcess	"bp(GOBP:""migration in host"")"
BiologicalProcess	"bp(GO:""nicotine metabolic process"")"
BiologicalProcess	"bp(CONSO:""CONSO00077"")"
BiologicalProcess	"bp(GO:""carbohydrate utilization"")"
BiologicalProcess	"bp(GO:""endocytosis"")"
BiologicalProcess	"bp(GO:""cholesterol metabolic process"")"
BiologicalProcess	"bp(GO:""axonal transport"")"
BiologicalProcess	"bp(GO:""autophagosome-lysosome fusion"")"
BiologicalProcess	"bp(GO:""cell proliferation"")"
BiologicalProcess	"bp(GO:""cerebrospinal fluid secretion"")"
BiologicalProcess	"bp(GO:""exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-independent decay"")"
